Nome do órgão;Tipo de retorno principal (Se é E-mail, Telefone, Carta ou Site);Telefones;Site;E-mails;Nome do órgão principal (no caso de uma sub-unidade);CEPdoendereço;Logradouro do endereço;Número;Bairro;Cidade;Estado;Complemento;Tipo
CEJUSC CAMPO GRANDE - CIJUS;E-MAIL;(67) 3317-8683;https://www.tjms.jus.br/;cejusc-cijus@tjms.jus.br;CEJUSC CAMPO GRANDE;79002-130;Rua 7 de Setembro;174;Centro;Campo Grande;MS;;CEJUSC
CEJUSC CAMPO GRANDE - DEFENSORIA PÚBLICA - UNIDADE BELMAR FIDALGO;E-MAIL; (67) 3313-5838;https://www.tjms.jus.br/;cejusc-defpub.unidadehorto@tjms.jus.br ;CEJUSC CAMPO GRANDE;79002-060;Rua Arthur Jorge;779;Centro;Campo Grande;MS;5º andar;CEJUSC
CEJUSC CAMPO GRANDE - ASSOCIAÇÃO COMERCIAL ;E-MAIL; (67) 3312-5062;https://www.tjms.jus.br/;cejusc-associacaocomercial@tjms.jus.br;CEJUSC CAMPO GRANDE;79002-140;Rua 15 de Novembro;390;Centro;Campo Grande;MS;;CEJUSC
CEJUSC CATOLÉ DO ROCHA;E-MAIL;(83) 3441-1277;https://www.tjpb.jus.br/;cat-civ-cejusc01@tjpb.jus.br;;;Avenida Dep. Américo Maia;S/N;João Serafim;Catolé Do Rocha ;PB;Fórum Des. João Sérgio Maia;CEJUSC
CEJUSC CATOLÉ DO ROCHA – COMUNITÁRIA – TJPB/MITRA DIOCESANA;E-MAIL;(83)3441-1292 ;https://www.tjpb.jus.br/;cat-mis-cejusc02@tjpb.jus.br;CEJUSC CATOLÉ DO ROCHA;;Avenida Deputado Américo Maia;43;Centro;Catolé Do Rocha ;PB;;CEJUSC
CEJUSC CAXIAS;E-MAIL;(99) 3421-7877 (99) 3521-2905;https://www.tjma.jus.br/; 1cejusc-cax@tjma.jus.br / conciliar@tjma.jus.br;;65602-020;Travessa Senador Costa Rodrigues;669;Centro;Caxias ;MA;;CEJUSC
CEJUSC CAXIAS - FACEMA;E-MAIL;(99) 3422-6800 – Ramal 854;https://www.tjma.jus.br/;2cejusc-cax@tjma.jus.br / conciliar@tjma.jus.br;CEJUSC CAXIAS ;65600-020;Rua Aarão Reis;1000;Centro;Caxias ;MA;;CEJUSC
CEJUSC CRICIÚMA;E-MAIL;(48) 3431-5209;https://www.tjsc.jus.br/; criciuma.cejusc@tjsc.jus.br;;88804500;Avenida Santos Dumont;100;Bairro Milanese;Criciúma;SC;(Fórum);CEJUSC
CEJUSC CRICIÚMA - UNIVERSIDADE UNESC;E-MAIL;(48) 3431-2524;https://www.tjsc.jus.br/;cpj@unesc.net;CEJUSC CRICIÚMA;88806-000;Avenida Universitária;1105;Universitário;Criciúma;SC;;CEJUSC
CEJUSC CRICIÚMA - UNIVERSIDADE ESUCRI;E-MAIL;(48) 3431-3774;https://www.tjsc.jus.br/;emaje@esucri.com.br;CEJUSC CRICIÚMA;88802-120;Rua Gonçalves Lêdo;185;Centro;Criciúma;SC;;CEJUSC
CEJUSC CRUZEIRO – POSTO PREFEITURA;E-MAIL;;http://www.tjsp.jus.br/;cejusc.cruzeiro@tjsp.jus.br;CEJUSC CRUZEIRO;;Avenida Jorge Tibiriçá;932;Centro;Cruzeiro ;SP;;CEJUSC
CEJUSC CURITIBA;E-MAIL;41 3221 9702;https://www.tjpr.jus.br/;conciliacaoforumcivel@tjpr.jus.br;;;Rua Lysímaco Ferreira da Costa  ;355;Centro Cívico;Curitiba;PR;;CEJUSC
CEJUSC CURITIBA - BOQUEIRÃO;E-MAIL;(41) 98423-3297;https://www.tjpr.jus.br/;jpfo@tjpr.jus.br;CEJUSC CURITIBA;81650000;Avenida MARECHAL FLORIANO PEIXOTO;8257;BOQUEIRÃO;Curitiba;PR;Fórum Descentralizado do Boqueirão  ;CEJUSC
CEJUSC CURITIBA - CIDADE INDUSTRIAL;E-MAIL;;https://www.tjpr.jus.br/;cordeiro@tjpr.jus.br;CEJUSC CURITIBA;81260040;R Ludovico Kaminski;2525;Cidade Industrial de Curitiba;Curitiba;PR;Fórum Descentralizado da Cidade Industrial de Curitiba  ;CEJUSC
CEJUSC CURITIBA -  PINHEIRINHO;E-MAIL;;https://www.tjpr.jus.br/;;CEJUSC CURITIBA;;Avenida Winston Churchill;1900;PINHEIRINHO;Curitiba;PR;;CEJUSC
CEJUSC CURITIBA - STA. FELICIDADE;E-MAIL;(41) 3312-5313 / (41) 98890-9308;https://www.tjpr.jus.br/;cejuscsantafelicidade@tjpr.jus.br;CEJUSC CURITIBA;82020470;Rua Via Vêneto;1490;Santa Felicidade;Curitiba;PR;Fórum Descentralizado de Santa Felicidade ;CEJUSC
CEJUSC CURITIBA 2º GRAU;E-MAIL;(41) 3200-4141 / (41) 3200-2621;https://www.tjpr.jus.br/;conciliarnucleo@tjpr.jus.br;CEJUSC CURITIBA;;;;;Curitiba;PR;;CEJUSC
CEJUSC CURITIBA - BANCÁRIO -SUPERENDIVIDAMENTO;E-MAIL;(41) 3312-6055;https://www.tjpr.jus.br/;projetosuperendividamento@tjpr.jus.br;CEJUSC CURITIBA;;;;;Curitiba;PR;;CEJUSC
CEJUSC CURITIBA -BANCÁRIO;E-MAIL;(41) 3312-6055;https://www.tjpr.jus.br/;cejuscbancario@tjpr.jus.br;CEJUSC CURITIBA;;;;;Curitiba;PR;;CEJUSC
CEJUSC CURITIBA -JUIZADOS ESPECIAIS;E-MAIL;(41) 3312 6161 / (41) 3312 6281 /(41) 3312 615;https://www.tjpr.jus.br/;;CEJUSC CURITIBA;; R PRESIDENTE FARIA;431;Centro;Curitiba;PR;;CEJUSC
CEJUSC FEIRA DE SANTANA (FAC. ANÍSIO TEIXEIRA);E-MAIL;(75) 3623-9008;http://www5.tjba.jus.br/portal/;balcao.fatnpj@gmail.com;CEJUSC FEIRA DE SANTANA;44010-025;Avenida Getúlio Vargas ;572;;Feira De Santana ;BA;Núcleo FAT;CEJUSC
CEJUSC FEIRA DE SANTANA (FACULDADE NOBRE);E-MAIL;(75) 2102-9156;http://www5.tjba.jus.br/portal/;conciliar@tjba.jus.br;CEJUSC FEIRA DE SANTANA;44025-250;Rua Quintino Bocaiúva ;S/N;;Feira De Santana ;BA;Fac. Nobre;CEJUSC
CEJUSC CAPITAL -  TEMÁTICO - EXECUTIVO FISCAL;E-MAIL;;https://www.tjsc.jus.br/;;CEJUSC FLORIANÓPOLIS;;;;;Florianópolis;SC;;CEJUSC
CEJUSC FLORIANÓPOLIS - UNIVERSIDADE;E-MAIL;(48) 3239-2663;https://www.tjsc.jus.br/;cejusc@cesusc.edu.br ;CEJUSC FLORIANÓPOLIS;88050-001;SC-401;9301;Santo Antônio de Lisboa;Florianópolis;SC;;CEJUSC
CEJUSC FLORIANÓPOLIS;E-MAIL;(48) 3287-5119;https://www.tjsc.jus.br/;continente.cejusc@tjsc.jus.br;;88075-310;Rua São José;300;Balneário Estreito;Florianópolis;SC;(Fórum);CEJUSC
CEJUSC FLORIANÓPOLIS - FÓRUM DESEMBARGADOR JOSÉ ARTHUR BOITEUX/UFSC;E-MAIL;(48) 3287-5019;https://www.tjsc.jus.br/;nortedailha.cejusc@tjsc.jus.br ;CEJUSC FLORIANÓPOLIS;88040400;Avenida Desembargador Vítor Lima;183;Centro;Florianópolis;SC;;CEJUSC
CEJUSC GOIÂNIA;E-MAIL;(62) 3018-8084;https://www.tjgo.jus.br/;bancaconciliacao@tjgo,jus.br ;;;Rua 72;Quadra C-15/19;Jardim Goiás;Goiânia;GO; Mezanino - Fórum Desembargador Fenelon Teodoro - 1º CEJUSC CAPITAL ;CEJUSC
CEJUSC CAPITAL  - DECON;E-MAIL;(62) 3201-1529;https://www.tjgo.jus.br/;;CEJUSC GOIÂNIA;74645-010;Avenida Independência;2716;St. Leste Vila Nova;Goiânia;GO;;CEJUSC
8º CEJUSC CAPITAL   ;E-MAIL;(62) 3201-2863;https://www.tjgo.jus.br/;audiencia@procon.go.gov.br;CEJUSC GOIÂNIA;74013-030; Rua 8;242 - Lote 36;St. Central;Goiânia;GO;Edifício Torres;CEJUSC
7º CEJUSC CAPITAL ;E-MAIL;(62) 3216-2726 (62) 35242990;https://www.tjgo.jus.br/;7cejuscc.goiania@tjgo.jus.br;CEJUSC GOIÂNIA;74120-020;Rua 10;165;St. Oeste;Goiânia;GO;Fórum DR Heitor Moraes Fleury, Térreo, Sala 190;CEJUSC
CEJUSC CAPITAL - UNI ANHANGUERA;E-MAIL;(62) 3287-2288 ;https://www.tjgo.jus.br/;6cejuscc.goiania@tjgo.jus.br;CEJUSC GOIÂNIA;;Rua Lázaro Costa;456;Cidade Jardim;Goiânia;GO;Faculdade Uni Anhanguera;CEJUSC
CEJUSC CAPITAL - FASAM;E-MAIL;(62) 3219-4013 (62) 3219-4014;https://www.tjgo.jus.br/;5cejuscc.goiania@tjgo.jus.br;CEJUSC GOIÂNIA;74850-370;BR-153;KM 502;Jardim da Luz;Goiânia;GO;Faculdade Sul-Americana de Goiânia, FASAM;CEJUSC
CEJUSC CAPITAL - FACLIONS;E-MAIL;(62) 3211-1151 ;https://www.tjgo.jus.br/;4cejuscc.goiania@tjgo.jus.br;CEJUSC GOIÂNIA;;Avenida Armogaste José da Silveira;350;Setor Fama;Goiânia;GO;;CEJUSC
CEJUSC CAPITAL - PUC-GO;E-MAIL;(62) 3946-3078;https://www.tjgo.jus.br/;terceirocentrojudiciario@gmail.com;CEJUSC GOIÂNIA;; Avenida Fued José Sebba;1184; Jardim Goiás;Goiânia;GO;PUC-GO, Térreo do bloco A,  Campus V;CEJUSC
2º CEJUSC CAPITAL ;E-MAIL;(62) 3018-842;https://www.tjgo.jus.br/;2cejuscfamilia@tjgo.jus.br ;CEJUSC GOIÂNIA;74884-120;Avenida Olinda;04 - Qd G;Park Lozandes;Goiânia;GO;;CEJUSC
CEJUSC GUARABIRA (AGRESTE) -FPL/UEPB;E-MAIL;(83) 3271-4308 / 3271-3342;https://www.tjpb.jus.br/; cejuscgba@tjpb.jus.br;CEJUSC GUARABIRA;;;;;Guarabira ;PB;Fórum Alcides Carneiro;CEJUSC
CEJUSC INGÁ;E-MAIL;(83) 3394-1400;https://www.tjpb.jus.br/;diringa@tjpb.jus.br;CEJUSC GUARABIRA;58382-000; Rua Venâncio Neiva;7;Centro;Ingá;PB;Fórum Juiz Romero Marcelo da F. Oliveira;CEJUSC
CEJUSC ILHÉUS (ANTIGO NÚCLEO DE CONCILIAÇÃO) ;E-MAIL;;http://www5.tjba.jus.br/portal/;;CEJUSC ILHÉUS;;;;;Ilhéus ;BA;;CEJUSC
CEJUSC ILHÉUS (SAC);E-MAIL;(73) 3633-7830;http://www5.tjba.jus.br/portal/;conciliar@tjba.jus.br;CEJUSC ILHÉUS;45654-120;Rua Estáquio Bastos;308;Centro;Ilhéus ;BA;;CEJUSC
CEJUSC ILHÉUS;E-MAIL;(73) 3214-2418 e 3214-2400;http://www5.tjba.jus.br/portal/;conciliar@tjba.jus.br;;45650-015;Praça José Bastos ;55;Centro;Ilhéus ;BA;;CEJUSC
CEJUSC IMPERATRIZ;E-MAIL;(99) 2101-0883;https://www.tjma.jus.br/;1cejusc-imp@tjma.jus.br / conciliar@tjma.jus.br;;65916-290;Rua Perimetral Castelo Branco;116;Parque Anhanguera;Imperatriz ;MA;;CEJUSC
CEJUSC IMPERATRIZ - FACIMP;E-MAIL;(99) 3524-8298;https://www.tjma.jus.br/;2cejusc-imp@tjma.jus.br / conciliar@tjma.jus.br;CEJUSC IMPERATRIZ;65900-000;Avenida Prudente de Morais;S/N;Residencial Kubitscheck;Imperatriz ;MA;;CEJUSC
CEJUSC IRECÊ;E-MAIL;(74) 3641-3483;http://www5.tjba.jus.br/portal/;conciliar@tjba.jus.br;;44900-000;Avenida Clériston Andrade ;100;Centro;Irecê;BA;;CEJUSC
CEJUSC IRECÊ - (FAI - FACULDADE IRECÊ);E-MAIL;(74)3642-1272;http://www5.tjba.jus.br/portal/;cejusc.fai.irece@gmail.com;CEJUSC IRECÊ;44900-000;Rua Rio São Francisco;561;Recanto das Arvores;Irecê;BA;;CEJUSC
CEJUSC ITABUNA;E-MAIL;(73) 3214-2418 - 3214-2426;http://www5.tjba.jus.br/portal/;conciliar@tjba.jus.br;;45600-081;Praça José Bastos;55;Centro;Itabuna ;BA;;CEJUSC
CEJUSC ITABUNA (UNIME);E-MAIL;(73) 2102-3031 / 3023 / 3072;http://www5.tjba.jus.br/portal/;conciliar@tjba.jus.br;CEJUSC ITABUNA;45607-288;Avenida José Soares Pinheiro;1600;Lomanto Júnior;Itabuna ;BA;Campus 2;CEJUSC
CEJUSC CEJUSC JOÃO PESSOAL - CÍVEL - SEGUNDO GRAU;E-MAIL;(83)3216-1567;https://www.tjpb.jus.br/;cejusc2grau@tjpb.jus.br;CEJUSC JOÃO PESSOA;;Praça João Pessoa ;S/N;Centro;João Pessoa;PB;Tribunal de Justiça da Paraíba – 3º Andar do Anexo Administrativo -;CEJUSC
CEJUSC CEJUSC III - JOÃO PESSOA - VARAS CÍVEIS – PRÉ-PROCESSUAL ;E-MAIL;(83) 3208-2400 / 3208-2612;https://www.tjpb.jus.br/;ccajp@hotmail.com;CEJUSC JOÃO PESSOA;;Avenida João Machado;S/N;Jaguaribe;João Pessoa;PB;;CEJUSC
CEJUSC CEJUSC IV - JOÃO PESSOA - VARAS DE FAMÍLIA – TJPB/UNIPÊ;E-MAIL;(83) 3208-2541;https://www.tjpb.jus.br/;cejuscfamiliarfciveljp@gmail.com;CEJUSC JOÃO PESSOA;;Avenida João Machado;S/N;Jaguaribe;João Pessoa;PB;Fórum Cível da Capital;CEJUSC
CEJUSC CEJUSC V - JOÃO PESSOA - VARAS CÍVEIS - MANGABEIRA;E-MAIL;(83) 3238-4184 / 3238-4293;https://www.tjpb.jus.br/;;CEJUSC JOÃO PESSOA;;Avenida Hilton Souto Maior;S/N;Mangabeira VIII;João Pessoa;PB;;CEJUSC
CEJUSC CEJUSC VI - JOÃO PESSOA - VARAS DE FAMÍLIA – MANGABEIRA;E-MAIL;(83) 3238-4184 / 3238-4293;https://www.tjpb.jus.br/;fesp.ccma@hotmail.com;CEJUSC JOÃO PESSOA;;Avenida Hilton Souto Maior;S/N;Mangabeira VIII;João Pessoa;PB;;CEJUSC
CEJUSC JOÃO PESSOA;E-MAIL;(83) 3208-2532;https://www.tjpb.jus.br/;;;;Avenida João Machado;S/N;Jaguaribe;João Pessoa;PB;Fórum Cível da Capital -7º andar. TJPB;CEJUSC
CEJUSC JOÃO PESSOA - NÚCLEO PRO ENDIVIDADOS – CONSUMERISTA ;E-MAIL;(83) 3208-2430;https://www.tjpb.jus.br/;proendividados@tjpb.jus.br;CEJUSC JOÃO PESSOA;;Avenida João Machado;S/N;Jaguaribe;João Pessoa;PB;;CEJUSC
CEJUSC CAPITAL - ZONA NORTE – MISTO/RESTAURATIVA;E-MAIL;;https://www.tjpb.jus.br/;jpa-mis-cejusc11@tjpb.jus.br;CEJUSC JOÃO PESSOA;;Rua Infante Dom Henrique;354;Tambaú;João Pessoa;PB;;CEJUSC
CEJUSC LAURO DE FREITAS;E-MAIL;(77) 33788114;http://www5.tjba.jus.br/portal/;florimarviana@kroton.com.br;;42700-000;Luis Tarquínio Pontes;600;Parque Jockei Clube;Lauro De Freitas ;BA;NPF Unime;CEJUSC
CEJUSC LAURO DE FREITAS - MAURÍCIO DE NASSAU;E-MAIL;;http://www5.tjba.jus.br/portal/;fernandafnogueira@gmail.com;CEJUSC LAURO DE FREITAS;;Rua Silvandir F. Chaves;108;;Lauro De Freitas ;BA;sala 10 - Centro Empresaria Torre Business;CEJUSC
CEJUSC LAURO DE FREITAS - PORTÃO;E-MAIL;;http://www5.tjba.jus.br/portal/;bagdadjr@hotmail.com;CEJUSC LAURO DE FREITAS;;Loteamento Solar União ;S/N;;Lauro De Freitas ;BA;Centro Social Urbano;CEJUSC
CEJUSC LIMEIRA – POSTO IRACEMÁPOLIS;E-MAIL;(19) 3456-3225  ;http://www.tjsp.jus.br/;cejusc.limeira@tjsp.jus.br;CEJUSC LIMEIRA;;Rua Zaira Paggiaro Ometto;555;Iracemápolis;Limeira;SP;;CEJUSC
CEJUSC LUIS EDUARDO MAGALHÃES;E-MAIL;(77) 3628-6241 - 3628-9000;http://www5.tjba.jus.br/portal/;conciliar@tjba.jus.br;;47850-000;Avenida Barreiras;825;Centro;Luis Eduardo Magalhães ;BA;;CEJUSC
CEJUSC LUIS EDUARDO MAGALHÃES - NÚCLEO PREFEITURA;E-MAIL;;http://www5.tjba.jus.br/portal/;;CEJUSC LUIS EDUARDO MAGALHÃES;;;;;Luis Eduardo Magalhães;BA;;CEJUSC
CEJUSC CASA DE JUSTIÇA E CIDADANIA ;E-MAIL;(96) 3312-3816 / 08000968532;https://www.tjap.jus.br/portal/;;CEJUSC MACAPÁ;68904-001;Avenida Claudomiro de Moraes;S/N; Novo Buritizal ;Macapá;AP;;CEJUSC
CEJUSC CAPITAL - CENTRAL FÓRUM;E-MAIL;(96) 3312-3400 – Ramal: 4566;https://www.tjap.jus.br/portal/;nucleopermanente@tjap.jus.br;CEJUSC MACAPÁ;68906-906;Avenida FAB;1737;Centro;Macapá;AP;1º andar;CEJUSC
CEJUSC SETOR NORTE;E-MAIL;(96) 3312-3895 / 3312-3995;https://www.tjap.jus.br/portal/;;CEJUSC MACAPÁ;68908-076;Avenida Maria Cavalcante de Azevedo Picanço;S/N;;Macapá;AP;Infraero II -acesso pela Rod.Norte-Sul – Prédio do TRE/AP – 10ª Zona;CEJUSC
CEJUSC MP ZONA NORTE ;E-MAIL;(96) 3312-3945;https://www.tjap.jus.br/portal/;;CEJUSC MACAPÁ;68908-530;Rua Adílson José Pinto Pereira;2407;São Lázaro;Macapá;AP;Prédio do Ministério Público – Complexo Cidadão;CEJUSC
CEJUSC  BAILIQUE;E-MAIL;(96) 3332-1163;https://www.tjap.jus.br/portal/;;CEJUSC MACAPÁ;68913-000;Passarela Milonês Amanajás;;Distrito do Bailique;Macapá;AP;;CEJUSC
CEJUSC  ZONA OESTE;E-MAIL;(96) 3312-3813;https://www.tjap.jus.br/portal/;;CEJUSC MACAPÁ;68906-80;Rodovia Duca Serra;887;Cabralzinho;Macapá;AP;;CEJUSC
CEJUSC  JUIZADO CENTRAL;E-MAIL;(96) 3312-3400;https://www.tjap.jus.br/portal/;;CEJUSC MACAPÁ;68901-017;Rua Odilardo Silva;1944-A;Centro;Macapá;AP;;CEJUSC
CEJUSC  JUIZADO SUL;E-MAIL;(96) 3242-0232 / 3242-3626;https://www.tjap.jus.br/portal/;;CEJUSC MACAPÁ;68904-001;Rua Claudomiro de Moraes;S/N;Novo Buritiza;Macapá;AP;Próximo a Escola Estadual Mário Quirino;CEJUSC
CEJUSC  JUIZADO UNIFAP;E-MAIL;(96) 3241-5677;https://www.tjap.jus.br/portal/;;CEJUSC MACAPÁ;68903-419-;Rodovia Juscelino Kubitschek;km 02;Jardim Marco Zero;Macapá;AP;;CEJUSC
CEJUSC FACULDADE FAMA;E-MAIL;(96) 3312-3809;https://www.tjap.jus.br/portal/;;CEJUSC MACAPÁ;68906-720;Rodovia Duque de Caxias;km 06;Lagoa dos Índios;Macapá;AP;Campus FAMA, Bloco A;CEJUSC
CEJUSC  JUIZADO NORTE;E-MAIL;(96) 3312-3805;https://www.tjap.jus.br/portal/;;CEJUSC MACAPÁ;6890891; Rodovia Norte Sul;210;Infraero II;Macapá;AP;Prédio da Justiça Federal;CEJUSC
CEJUSC  FACULDADE FAMAP;E-MAIL;(96) 3198-0541;https://www.tjap.jus.br/portal/;;CEJUSC MACAPÁ;68900-002;Rodovia Juscelino Kubitschek;501;Jardim Equatorial ;Macapá;AP;;CEJUSC
CEJUSC  FACULDADE CEAP;E-MAIL;(96) 3261-2133;https://www.tjap.jus.br/portal/;;CEJUSC MACAPÁ;68906-720;Rodovia Duca Serra;350;Alvorada;Macapá;AP;;CEJUSC
CEJUSC  SEPM (SECRETARIA DA MULHER);E-MAIL;(96) 3222-1646 / (96) 99145-3168 / 98112-3026;https://www.tjap.jus.br/portal/;;CEJUSC MACAPÁ;68900-000;Rua São José;1570;Centro;Macapá;AP;;CEJUSC
CEJUSC  CAMUF/MACAPÁ ;E-MAIL;(96)3223-7426;https://www.tjap.jus.br/portal/;;CEJUSC MACAPÁ;68900-000;Rua Rio Juruá;816;Centro;Macapá;AP;;CEJUSC
CEJUSC  SIAC CENTRO - SUPERFÁCIL CENTRAL;E-MAIL;(96) 3312-3815;https://www.tjap.jus.br/portal/;;CEJUSC MACAPÁ;68900-100;Rua Cândido Mendes;623; Perpétuo Socorro;Macapá;AP;;CEJUSC
CEJUSC MACAPÁ;E-MAIL;(96) 3241-1286 / 3421-1271 / 3421-1592;https://www.tjap.jus.br/portal/;;;68950-000;Praça Barão do Rio Branco;64;Centro;Macapá;AP;;CEJUSC
CEJUSC NATAL;E-MAIL;(84) 3616-6668;http://www.tjrn.jus.br/;;;;Rua das Fosforitas;2327;Lagoa Nova;Natal;RN;Complexo Judiciário - Conjunto Potilândia;CEJUSC
CEJUSC NATAL - FISCAL MUNICIPAL ;E-MAIL;(84) 3232 – 8905;http://www.tjrn.jus.br/;;CEJUSC NATAL;59020-110;Rua Açu;394;Tirol;Natal;RN;(SEMUT);CEJUSC
CEJUSC NATAL - FISCAL ESTADUAL ;E-MAIL;(84) 3209-7880;http://www.tjrn.jus.br/;;CEJUSC NATAL;59064-901;Avenida Senador Salgado Filho;S/N;Lagoa Nova;Natal;RN;Centro Administrativo do Estado;CEJUSC
CEJUSC NATAL 2º GRAU;E-MAIL;(84) 3616-6423 / 3616-6414.;http://www.tjrn.jus.br/;;CEJUSC NATAL;59025-300;Praça 7 de Setembro;S/N;Centro;Natal;RN;Tribunal de Justiça do RN - 2º Andar;CEJUSC
CEJUSC SAÚDE;E-MAIL;(84) 3234 - 7429;http://www.tjrn.jus.br/;;CEJUSC NATAL;;Rua das Fosforitas;2327;Lagoa Nova;Natal;RN;Complexo Judiciário - Conjunto Potilândia;CEJUSC
CEJUSC NITERÓI ;E-MAIL;(21) 2716-4640;http://www.tjrj.jus.br/;nitcentromediacao@tjrj.jus.br;;24020-069;Avenida Ernanido Amaral Peixoto;577;Centro;Niterói;RJ;Fórum Desembargador Enéas Marzano - 12º andar;CEJUSC
CEJUSC NITERÓI – REGIONAL REGIÃO OCEÂNICA;E-MAIL;(21) 2616-9381;http://www.tjrj.jus.br/;roccejusc@tjrj.jus.br;CEJUSC NITERÓI ;24320-570;Estrada Caetano Monteiro;S/N;Pendotiba;Niterói;RJ;2°andar;CEJUSC
CEJUSC PATOS (SERTÃO) - CÍVEL/FAMÍLIA/FAZENDA ;E-MAIL;(83) 3423-1765 / 3423-3637;https://www.tjpb.jus.br/;;CEJUSC PATOS;5870007;Av Doutor Pedro Firmino;S/N;Centro;Patos ;PB; Fórum Ernani Sátiro;CEJUSC
CEJUSC PATOS (SERTÃO) MISTO – FIP;E-MAIL;(83) 3421-3771;https://www.tjpb.jus.br/;;CEJUSC PATOS;;Rua Floriano Peixoto;223;Centro;Patos ;PB;;CEJUSC
CEJUSC PATOS - ACIDENTES DE TRÂNSITO – STTRANS;E-MAIL;3422-1019 ;https://www.tjpb.jus.br/;prefeitura@patos.pb.gov.br;CEJUSC PATOS;;Rua Horácio Nóbrega;S/N;Belo Horizonte;Patos ;PB;;CEJUSC
CEJUSC PATOS;E-MAIL;3423-3629 ;https://www.tjpb.jus.br/;procon@patos.pb.gov.br;;;Rua Rui Barbosa;21;Centro;Patos ;PB;CONSUMERISTA - TJPB/PROCON MUICIPAL;CEJUSC
CEJUSC PETÓPOLIS - REGIÃO DE ITAIPAVA;E-MAIL;(24) 2222-8605 e (24) 2222-8608;http://www.tjrj.jus.br/;itacentromediacao@tjrj.jus.br;CEJUSC PETRÓPOLIS ;25730-735;Estrada União e Industria;9900;Itaipava;Petrópolis;RJ;;CEJUSC
CEJUSC PETRÓPOLIS ;E-MAIL;(24) 2244-6325;http://www.tjrj.jus.br/;petcentromediacao@tjrj.jus.br;;25680-275;Avenida Barão do Rio Branco;2001;Centro;Petrópolis;RJ;2ºandar;CEJUSC
CEJUSC FORO REGIONAL ALTO PETRÓPOLIS – PORTO ALEGRE;E-MAIL;(51) 3249-3430;https://www.tjrs.jus.br/novo/;frquaraivjud@tjrs.jus.br;CEJUSC PORTO ALEGRE;;;;;Porto Alegre;RS;;CEJUSC
CEJUSC FORO REGIONAL DO PARTENON - PORTO ALEGRE;E-MAIL;3259-3446;https://www.tjrs.jus.br/novo/;cejuscfrp@tjrs.jus.br;CEJUSC PORTO ALEGRE;;;;;Porto Alegre;RS;;CEJUSC
CEJUSC PORTO ALEGRE;E-MAIL;(51) 3210-6500;https://www.tjrs.jus.br/novo/;cejuscpoa@tjrs.jus.br;;;;;;Porto Alegre;RS;;CEJUSC
CEJUSC PORTO ALEGRE - JUSTIÇA RESTAURATIVA;E-MAIL;(51) 3210-6773 / (51) 3259-3634;https://www.tjrs.jus.br/novo/;cejuscjrpoa@tjrs.jus.br;CEJUSC PORTO ALEGRE;;;;;Porto Alegre;RS;;CEJUSC
CEJUSC PORTO ALEGRE /  DO 2° GRAU;E-MAIL;(51) 3259-3446;https://www.tjrs.jus.br/novo/;;CEJUSC PORTO ALEGRE;;;;;Porto Alegre;RS;;CEJUSC
CEJUSC PORTO VELHO;E-MAIL;(69) 3309-7186  ;https://www.tjro.jus.br/;cejusc_pvh@tjro.jus.br;;;Rua José Camacho;585;Bairro Olaria;Porto Velho;RO;;CEJUSC
CEJUSC PORTO VELHO - FAMCRI;E-MAIL;(69) 3309-7188  ;https://www.tjro.jus.br/;cejuscfamcri@tjro.jus.br;CEJUSC PORTO VELHO;;;;;Porto Velho;RO;;CEJUSC
CEJUSC PORTO VELHO - CIV;E-MAIL;(69) 3309-7187 ;https://www.tjro.jus.br/;cejusc-civ@tjro.jus.br;CEJUSC PORTO VELHO;;;;;Porto Velho;RO;;CEJUSC
CEJUSC PORTO VELHO - JECC ;E-MAIL;(69) 3309-7189  ;https://www.tjro.jus.br/;cejusc_jecc@tjro.jus.br;CEJUSC PORTO VELHO;;;;;Porto Velho;RO;;CEJUSC
CEJUSC RECIFE;E-MAIL;(81) 3181-0541 / (81) 97903-1885;https://www.tjpe.jus.br/;conciliarrecife@tjpe.jus.br / cejusc.recife.tarde@tjpe.jus.br;;;;;;Recife;PE;;CEJUSC
CEJUSC RECIFE 2º GRAU;E-MAIL;(81) 3182-0660;https://www.tjpe.jus.br/;conciliartribunal@tjpe.jus.br;CEJUSC RECIFE;;;;;Recife;PE;;CEJUSC
CEJUSC RIO BRANCO;E-MAIL;(68) 3211-5566 (68) 3211-5567;https://www.tjac.jus.br/;cejusrb@tjac.jus.br;;;;;;Rio Branco;AC;JUIZADOS ESPECIAIS;CEJUSC
CEJUSC RIO BRANCO - FAAO;E-MAIL;(68) 3226-3412;https://www.tjac.jus.br/;;CEJUSC RIO BRANCO;;;;;Rio Branco;AC;;CEJUSC
CEJUSC RIO BRANCO - CENTRO;E-MAIL;(68) 3211-5431;https://www.tjac.jus.br/;;CEJUSC RIO BRANCO;69932-970;Avenida Prefeito Rolando Moreira;128;Brasiléia;Rio Branco;AC;;CEJUSC
CEJUSC RIO BRANCO - UNINORTE;E-MAIL;(68) 3302-7070;https://www.tjac.jus.br/;;CEJUSC RIO BRANCO;69915-901;BR 364 Km 02 º Alameda Alemanha;200;Jardim Europa;Rio Branco;AC;;CEJUSC
